epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7725,1.54753,2.81119,1.51353,0.72865,0.5171,0.59121,0.306,1.63037,2.85543,1.54691,0.00065625,0.00065625,0.00065625
2,43.6452,1.45178,1.96352,1.41197,0.61619,0.55405,0.58663,0.31264,1.62172,3.58214,1.60232,0.00130982,0.00130982,0.00130982
3,63.9344,1.46792,1.71587,1.42903,0.76023,0.53041,0.60741,0.35406,1.55393,3.11395,1.50236,0.00195019,0.00195019,0.00195019
4,83.0951,1.42004,1.4628,1.38767,0.70769,0.52703,0.57549,0.32243,1.57093,3.30009,1.50848,0.0019406,0.0019406,0.0019406
5,103.575,1.3896,1.33065,1.35743,0.75499,0.51012,0.60201,0.37092,1.50436,1.72246,1.45416,0.0019208,0.0019208,0.0019208
6,122.733,1.34577,1.21309,1.3444,0.81883,0.69932,0.75473,0.45553,1.44064,1.68175,1.40082,0.001901,0.001901,0.001901
7,141.904,1.35364,1.14458,1.34,0.88252,0.70946,0.77066,0.49078,1.36514,1.36774,1.29731,0.0018812,0.0018812,0.0018812
8,162.651,1.3131,1.0932,1.32085,0.74675,0.74324,0.76514,0.48216,1.37634,2.24709,1.39315,0.0018614,0.0018614,0.0018614
9,181.418,1.31495,1.0631,1.30953,0.86844,0.67568,0.78338,0.48223,1.33939,1.32421,1.30601,0.0018416,0.0018416,0.0018416
10,200.676,1.32863,1.06873,1.32837,0.86546,0.78041,0.85826,0.55624,1.26836,0.92251,1.23502,0.0018218,0.0018218,0.0018218
11,220.799,1.28986,1.01718,1.29506,0.88456,0.71284,0.805,0.5175,1.3096,1.09232,1.29702,0.001802,0.001802,0.001802
12,239.772,1.29455,1.00108,1.31579,0.82161,0.64865,0.74947,0.45741,1.38911,1.17339,1.34873,0.0017822,0.0017822,0.0017822
13,259.947,1.2657,1.01491,1.27601,0.90609,0.79054,0.89498,0.59217,1.20408,0.78822,1.22985,0.0017624,0.0017624,0.0017624
14,279.148,1.22972,0.94135,1.2809,0.90966,0.74839,0.86488,0.57286,1.27731,0.89843,1.26516,0.0017426,0.0017426,0.0017426
15,297.831,1.24112,0.9189,1.27201,0.86289,0.80068,0.89302,0.58952,1.24554,0.84659,1.2195,0.0017228,0.0017228,0.0017228
16,318.57,1.23388,0.9337,1.27277,0.92607,0.78378,0.89144,0.57985,1.2423,0.85475,1.2421,0.001703,0.001703,0.001703
17,337.282,1.24154,0.90725,1.25643,0.84568,0.76351,0.85047,0.59538,1.17032,0.86515,1.2021,0.0016832,0.0016832,0.0016832
18,356.111,1.2404,0.9109,1.26587,0.83309,0.78378,0.83318,0.54919,1.25415,1.07662,1.26524,0.0016634,0.0016634,0.0016634
19,376.886,1.20011,0.89972,1.25032,0.9022,0.80405,0.89552,0.58033,1.23796,0.81564,1.23906,0.0016436,0.0016436,0.0016436
20,395.794,1.19595,0.85501,1.25163,0.91942,0.76689,0.88886,0.58348,1.27266,0.88379,1.26101,0.0016238,0.0016238,0.0016238
21,415.232,1.21585,0.88664,1.2503,0.88407,0.79054,0.86119,0.59597,1.17015,0.82581,1.23099,0.001604,0.001604,0.001604
22,434.879,1.21243,0.85057,1.26152,0.90248,0.81081,0.89469,0.61291,1.17397,0.7372,1.20147,0.0015842,0.0015842,0.0015842
23,453.825,1.17638,0.82163,1.23182,0.88603,0.75676,0.88532,0.59321,1.16225,0.8026,1.20233,0.0015644,0.0015644,0.0015644
24,474.211,1.1752,0.83179,1.23933,0.93435,0.76933,0.86348,0.5916,1.20404,0.87115,1.22347,0.0015446,0.0015446,0.0015446
25,493.119,1.14691,0.81364,1.21099,0.92793,0.78297,0.85993,0.57458,1.3136,0.97149,1.28932,0.0015248,0.0015248,0.0015248
26,511.777,1.17244,0.82058,1.22671,0.91392,0.81081,0.88909,0.6054,1.18945,0.82169,1.23468,0.001505,0.001505,0.001505
27,532.257,1.17327,0.83239,1.23798,0.91534,0.84012,0.92507,0.61613,1.18119,0.75234,1.17636,0.0014852,0.0014852,0.0014852
28,551.077,1.16205,0.7889,1.23475,0.89847,0.77729,0.88993,0.60215,1.19223,0.79278,1.23016,0.0014654,0.0014654,0.0014654
29,569.866,1.11791,0.78844,1.19473,0.88316,0.78378,0.86605,0.59254,1.1932,0.80522,1.25909,0.0014456,0.0014456,0.0014456
30,590.231,1.144,0.79727,1.21792,0.91717,0.74324,0.85622,0.56271,1.28417,0.91776,1.25377,0.0014258,0.0014258,0.0014258
